"timestamp","btc_usd"
"2025-07-17T19:12:13.380394-03:00","120191.20000000001"
"2025-07-17T19:13:13.263059-03:00","120191.20000000001"
"2025-07-17T19:14:13.285650-03:00","120244.90000000001"
"2025-07-17T19:15:13.327043-03:00","120255.6"
"2025-07-17T19:16:13.105031-03:00","120328.70000000001"
"2025-07-17T19:17:13.129499-03:00","120396.70000000001"
"2025-07-17T19:18:13.587406-03:00","120486.8"
"2025-07-17T19:19:13.173049-03:00","120614.5"
"2025-07-17T19:20:13.312826-03:00","120585.0"
"2025-07-17T19:21:13.414410-03:00","120584.8"
"2025-07-17T19:22:14.795439-03:00","120478.20000000001"
"2025-07-17T19:23:13.317765-03:00","120336.5"
"2025-07-17T19:24:13.376558-03:00","120295.70000000001"
"2025-07-17T19:25:13.318599-03:00","120283.20000000001"
"2025-07-17T19:26:13.079191-03:00","120219.1"
"2025-07-17T19:27:13.560616-03:00","120235.8"
"2025-07-17T19:28:13.103828-03:00","120211.5"
"2025-07-17T19:34:13.889867-03:00","120132.5"
"2025-07-17T19:35:13.567646-03:00","120131.90000000001"
"2025-07-17T19:36:13.569892-03:00","120149.1"
"2025-07-17T19:37:13.770681-03:00","120149.20000000001"
"2025-07-17T19:38:13.450071-03:00","120149.20000000001"
"2025-07-17T19:39:13.511302-03:00","120142.6"
"2025-07-17T19:40:13.652215-03:00","120140.40000000001"
"2025-07-17T19:41:13.512517-03:00","120139.6"
"2025-07-17T19:42:13.690875-03:00","120167.6"
"2025-07-17T19:43:14.532064-03:00","120178.3"
"2025-07-17T19:44:13.672513-03:00","120178.3"
"2025-07-17T19:45:13.255428-03:00","120196.3"
"2025-07-17T19:46:13.473156-03:00","120216.70000000001"
"2025-07-17T19:47:13.635515-03:00","120221.6"
"2025-07-17T19:48:13.337108-03:00","120245.1"
"2025-07-17T19:49:13.455794-03:00","120223.70000000001"
"2025-07-17T19:50:13.457605-03:00","120193.90000000001"
"2025-07-17T19:51:14.577709-03:00","120136.0"
"2025-07-17T19:52:13.657129-03:00","120075.90000000001"
"2025-07-17T19:53:13.399672-03:00","119951.90000000001"
"2025-07-17T19:54:13.458050-03:00","119713.90000000001"
"2025-07-17T19:55:13.539336-03:00","119656.70000000001"
"2025-07-17T19:56:13.378397-03:00","119656.70000000001"
"2025-07-17T19:57:13.521831-03:00","119623.1"
"2025-07-17T19:58:13.480592-03:00","119687.90000000001"
"2025-07-17T19:59:13.421024-03:00","119713.40000000001"
"2025-07-17T20:00:14.803886-03:00","119727.90000000001"
"2025-07-17T20:01:13.425116-03:00","119738.20000000001"
"2025-07-17T20:02:13.645740-03:00","119729.40000000001"
"2025-07-17T20:03:13.482729-03:00","119713.8"
"2025-07-17T20:04:13.386485-03:00","119709.20000000001"
"2025-07-17T20:05:13.486257-03:00","119723.0"
"2025-07-17T20:06:13.465063-03:00","119765.8"
